X95735_at,D49950_at,U50136_rna1_at,M23197_at,Y12670_at,M16038_at,X17042_at,M55150_at,M19507_at,M84526_at,M81933_at,M80254_at,X85116_rna1_s_at,U82759_at,L08246_at,M96326_rna1_at,M27891_at,X04085_rna1_at,M22960_at,M83652_s_at,U46751_at,U12471_cds1_at,M62762_at,M63138_at,X52056_at,U37055_rna1_s_at,Y00787_s_at,X70297_at,Y00339_s_at,M95678_at,M28130_rna1_s_at,M57710_at,S82185_at,M98399_s_at,M69043_at,M86406_at,M81695_s_at,U67963_at,M37435_at,M32304_s_at,U92459_at,M19045_f_at,L09209_s_at,X16546_at,X14008_rna1_f_at,M31158_at,M11147_at,X58431_rna2_s_at,X62654_rna1_at,L38608_at,cancer
1050,295,2137,781,1038,735,3628,1406,15791,-312,214,72,1639,262,853,1233,1481,2140,1885,565,1106,322,1125,3909,31,-745,216,670,1048,3623,-45,72,-137,341,2306,-204,1137,880,658,1108,-180,2517,1243,423,2327,163,7855,428,743,185,
700,9,1171,203,402,50,3711,842,135,-203,113,13,559,267,635,502,-229,747,271,-49,1395,144,933,1371,-138,147,9270,202,435,1563,4271,560,-58,183,14011,158,439,510,461,272,-53,515,104,132,512,237,13278,542,245,19,
408,7,747,287,258,399,5252,412,1452,41,44,267,530,15,2095,1296,107,294,446,252,1347,104,1030,1763,-159,68,3684,142,-31,455,1855,988,48,11,7901,116,494,273,237,889,-74,3939,146,135,4009,171,15280,201,626,10,
298,75,1124,261,600,365,177,654,56,-283,-240,-88,162,393,543,782,303,1057,330,-70,1298,160,835,1410,-267,94,333,307,-17,1275,292,-115,92,54,1489,-175,695,555,228,398,-59,382,1284,174,557,296,5418,424,631,-8,
247,33,842,58,270,302,597,691,88,-40,56,46,117,147,375,910,1168,537,206,401,528,81,499,1854,-743,-208,215,26,-12,946,23,108,101,122,1513,-21,711,277,709,620,12,2850,368,353,3300,94,6221,577,17,117,
307,129,1062,101,337,624,3460,1283,-29,-65,-11,109,169,118,2972,368,1358,1395,811,364,1379,134,3072,2325,421,-130,5345,186,-17,1876,2062,2171,37,209,6084,-28,812,1063,184,908,33,3606,540,309,2716,157,17348,368,739,76,
693,218,942,288,716,873,392,915,-62,-367,167,-111,199,410,740,882,-304,1655,584,34,1401,104,935,1132,5,-7,241,467,-51,917,-2,22,57,109,2178,402,599,348,177,763,-8,1331,786,151,1143,87,7070,537,352,71,
-108,43,731,108,780,9,178,803,-36,-275,22,30,417,366,596,1177,425,431,131,121,585,74,672,1297,-896,-429,146,260,-81,512,148,-85,13,53,740,117,613,281,155,351,-37,1820,311,22,1525,151,3729,463,85,45,
-223,9,966,155,262,273,848,822,-35,-231,124,94,-8,258,783,1337,336,633,1176,521,803,131,1741,2900,-548,82,445,269,-71,1749,104,103,58,142,3862,247,746,553,113,1184,-73,2629,310,48,1965,97,9431,724,621,106,
492,54,1175,167,167,144,1094,885,392,-36,89,45,176,409,1288,82,498,463,100,-169,1939,264,1188,1855,-408,205,522,223,-56,1193,-35,252,89,78,1974,212,513,609,361,1142,-43,2148,260,282,1781,109,5092,379,381,111,
390,99,883,141,314,540,1232,738,184,-76,89,10,203,102,1198,-144,22,220,327,-163,2111,157,542,711,-445,-99,136,180,-48,742,41,944,72,62,2753,142,666,1043,205,59,-29,1263,173,124,1631,128,9783,432,345,153,
2224,297,1641,316,733,679,7858,1929,429,-21,313,373,2274,822,6718,548,1073,3077,866,1179,7113,238,2702,4214,225,-285,15202,346,1353,2292,10476,159,-63,309,13895,201,1147,1372,1036,626,-137,2475,1355,226,1953,323,16705,590,1121,187,
3297,259,2535,774,1467,2680,3259,1514,209,141,230,619,1017,1083,4136,976,12339,2027,1571,657,3088,264,4249,7373,595,13,12715,522,-18,1942,7108,1853,137,35,10899,-182,978,2100,395,1206,-56,7969,2212,454,5778,173,19173,704,1696,115,
848,28,825,202,330,289,1232,707,3562,-102,120,18,540,67,623,478,36,1143,295,-91,944,182,593,1910,-311,209,38,336,-119,1270,73,-48,67,58,1259,265,426,451,282,192,-83,637,94,281,635,66,3720,450,537,32,
713,110,928,395,524,686,7972,732,938,290,114,139,334,119,2453,949,-86,2000,1018,218,1894,145,1665,1269,484,28,93,146,-76,1333,138,244,38,34,1094,112,282,589,165,201,-65,3069,968,672,2917,79,9017,170,2028,111,
3348,190,2545,555,1296,1305,8859,1647,2204,6569,243,550,2195,1137,1766,19615,6962,6000,1092,868,3717,217,1736,2558,1359,-343,3104,2328,1971,1354,1653,5824,-66,444,1908,-14,478,733,623,717,-35,3605,2219,1561,4063,298,11012,1454,1755,119,
360,72,864,145,180,589,2525,1157,93,-140,77,136,452,188,742,838,820,662,1216,493,1784,135,892,2337,-298,89,94,196,0,2125,9,389,57,108,1204,200,1030,1016,342,453,-19,3633,513,236,3576,116,13077,283,800,-3,
6218,326,3818,1130,647,2694,11003,2112,353,7372,229,425,478,1050,4915,9994,14555,5065,4079,1537,11618,213,3553,8793,2147,-383,6506,749,176,2445,2971,7142,-38,861,11990,-439,2279,2184,525,2450,-96,6268,4607,989,6612,556,18372,773,7589,374,
3482,100,1373,443,1513,3223,8855,2693,8072,2000,282,864,1999,1099,4126,4108,3654,3072,702,562,5749,304,1871,2771,865,100,21147,607,2982,4832,13176,6704,-20,253,14090,-287,1690,1571,481,1835,-60,13195,4198,959,13076,219,21498,1012,2519,321,
309,44,1398,309,574,108,416,1286,-109,-395,124,-53,-18,667,485,1268,254,823,212,-208,1496,167,609,2789,-1046,118,301,282,27,864,-25,-26,155,128,2281,265,810,921,270,906,-41,2997,236,226,1716,214,6156,717,106,184,
122,74,825,124,180,239,354,686,51,-243,111,-23,177,160,791,678,-102,350,130,-175,1739,126,1977,949,-370,-134,206,243,-133,596,155,88,-65,27,1026,11,401,568,210,741,-28,527,258,139,886,103,6074,346,549,90,
433,117,805,128,190,268,1750,514,196,-53,52,19,342,59,827,29,66,773,305,-65,1437,98,1114,1330,64,173,183,231,-119,1253,29,43,42,-95,2381,133,416,402,593,278,-35,304,741,217,441,47,4718,534,814,91,
