X95735_at,D49950_at,U50136_rna1_at,M23197_at,Y12670_at,M16038_at,X17042_at,M55150_at,cancer
178,214,1122,168,465,164,33,627,
105,234,1016,244,639,797,1269,503,
92,35,64,154,450,265,1045,1565,
399,191,1141,287,342,313,2450,767,
805,51,769,222,535,178,1537,927,
-428,128,1390,390,396,390,690,894,
252,-4,428,73,203,491,1183,181,
-52,43,646,88,389,223,7064,1165,
-152,97,188,128,244,252,155,441,
-61,142,470,117,466,87,1327,309,
28,80,591,37,180,173,283,385,
43,12,682,111,86,426,348,360,
509,105,931,130,396,190,1128,310,
417,146,1029,230,754,406,1357,665,
1931,145,1049,74,648,462,2282,859,
395,84,1496,252,391,505,2128,623,
2451,53,993,247,501,1448,4401,654,
878,74,861,159,244,217,2057,781,
162,2,973,252,244,185,1102,669,
373,205,571,122,101,147,4509,261,
2007,109,541,1533,442,1744,6371,801,
3870,106,3568,769,4460,1522,7056,1534,
2335,211,2335,593,683,2089,6957,1339,
5814,346,2442,928,729,2735,7281,1895,
4403,204,1083,629,458,855,7248,1811,
2287,96,721,827,318,444,8964,1147,
2871,151,2392,646,333,1020,3653,1656,
2122,183,723,336,391,385,10449,880,
3186,175,1023,526,485,489,975,1263,
2194,218,2349,560,323,716,5086,610,
543,65,775,341,410,460,3340,749,
5949,250,2502,1883,656,2686,5178,1476,
4174,455,3190,2204,1152,1499,6311,3220,
7133,333,1030,1605,676,1837,5314,1295,
