X95735_at,D49950_at,U50136_rna1_at,M23197_at,Y12670_at,M16038_at,X17042_at,M55150_at,cancer
1050,295,2137,781,1038,735,3628,1406,
700,9,1171,203,402,50,3711,842,
408,7,747,287,258,399,5252,412,
298,75,1124,261,600,365,177,654,
247,33,842,58,270,302,597,691,
307,129,1062,101,337,624,3460,1283,
693,218,942,288,716,873,392,915,
-108,43,731,108,780,9,178,803,
-223,9,966,155,262,273,848,822,
492,54,1175,167,167,144,1094,885,
390,99,883,141,314,540,1232,738,
2224,297,1641,316,733,679,7858,1929,
3297,259,2535,774,1467,2680,3259,1514,
848,28,825,202,330,289,1232,707,
713,110,928,395,524,686,7972,732,
3348,190,2545,555,1296,1305,8859,1647,
360,72,864,145,180,589,2525,1157,
6218,326,3818,1130,647,2694,11003,2112,
3482,100,1373,443,1513,3223,8855,2693,
309,44,1398,309,574,108,416,1286,
122,74,825,124,180,239,354,686,
433,117,805,128,190,268,1750,514,
2612,311,2539,408,1064,2399,8479,2072,
724,103,706,152,201,281,2408,548,
1671,70,2286,275,2538,784,1285,1753,
926,117,1837,286,784,534,1150,1822,
